chrom	chromStart	chromEnd	ix	n	size	type
chr1	0	10000	1	N	10000	telomere
chr1	121500000	128900000				centromere
chr1	249240621	249250621	2302	N	10000	telomere
chr2	0	10000	1	N	10000	telomere
chr2	90500000	96800000				centromere
chr2	243189373	243199373	2027	N	10000	telomere
chr3	0	10000	1	N	10000	telomere
chr3	87900000	93900000				centromere
chr3	198012430	198022430	1733	N	10000	telomere
chr4	0	10000	1	N	10000	telomere
chr4	48200000	52700000				centromere
chr4	191144276	191154276	1658	N	10000	telomere
chr5	0	10000	1	N	10000	telomere
chr5	46100000	50700000				centromere
chr5	180905260	180915260	1775	N	10000	telomere
chr6	0	10000	1	N	10000	telomere
chr6	58700000	63300000				centromere
chr6	171105067	171115067	1798	N	10000	telomere
chr7	0	10000	1	N	10000	telomere
chr7	58000000	61700000				centromere
chr7	159128663	159138663	1563	N	10000	telomere
chr8	0	10000	1	N	10000	telomere
chr8	43100000	48100000				centromere
chr8	146354022	146364022	1217	N	10000	telomere
chr9	0	10000	1	N	10000	telomere
chr9	47300000	50700000				centromere
chr9	141203431	141213431	1058	N	10000	telomere
chr10	0	10000	1	N	10000	telomere
chr10	38000000	42300000				centromere
chr10	135524747	135534747	1156	N	10000	telomere
chr11	0	10000	1	N	10000	telomere
chr11	51600000	55700000				centromere
chr11	134996516	135006516	1135	N	10000	telomere
chr12	0	10000	1	N	10000	telomere
chr12	33300000	38200000				centromere
chr12	133841895	133851895	1183	N	10000	telomere
chr13	0	10000	1	N	10000	telomere
chr13	16300000	19500000				centromere
chr13	115159878	115169878	876	N	10000	telomere
chr14	0	10000	1	N	10000	telomere
chr14	16100000	19100000				centromere
chr14	107339540	107349540	668	N	10000	telomere
chr15	0	10000	1	N	10000	telomere
chr15	15800000	20700000				centromere
chr15	102521392	102531392	690	N	10000	telomere
chr16	0	10000	1	N	10000	telomere
chr16	34600000	38600000				centromere
chr16	90344753	90354753	732	N	10000	telomere
chr17	22200000	25800000				centromere
chr18	0	10000	1	N	10000	telomere
chr18	15400000	19000000				centromere
chr18	78067248	78077248	605	N	10000	telomere
chr19	0	10000	1	N	10000	telomere
chr19	24400000	28600000				centromere
chr19	59118983	59128983	870	N	10000	telomere
chr20	0	10000	1	N	10000	telomere
chr20	25600000	29400000				centromere
chr20	63015520	63025520	649	N	10000	telomere
chr21	0	10000	1	N	10000	telomere
chr21	10900000	14300000				centromere
chr21	48119895	48129895	515	N	10000	telomere
chr22	0	10000	1	N	10000	telomere
chr22	12200000	17900000				centromere
chr22	51294566	51304566	592	N	10000	telomere
chrX	0	10000	1	N	10000	telomere
chrX	58100000	63000000				centromere
chrX	155260560	155270560	1668	N	10000	telomere
chrY	0	10000	1	N	10000	telomere
chrY	11600000	13400000				centromere
chrY	59363566	59373566	255	N	10000	telomere
